Species,PRMøller,Caleb,Randy,Bill,Hokkaido,Comments,
Belone svetovidovi,Y,Y,,,,Several records in North Sea and Baltic,
Cheilopogon milleri,,,,Y,,"4 records from LACM on GBIF, no georef",
Coelorinchus polli,,,,,Y,"3 records off Namibia as Caelorinchus caelorhincus subsp. polli, not on web",
Coryphaenoides alateralis,,,,,,,
Coryphaenoides ferrieri,,,,,,,
Coryphaenoides thelestomus,,,,,,,
Echinomacrurus mollis,Y,,,,,"One in GBIF, no georeference",
Eleginus nawaga,Y,,,,,"One in GBIF, no georeference",Also apparently a bunch in Sweden and Norway without appropriate georeferences
Eumegistus brevorti,Y,,,,,"Two in GBIF, no georeference",
Scombrops oculatus,,,Y,,,Recreationally-caught species--available via NOAA/OKEANOS?,
