EschmeyerName,OBISChecklist,FBName,SplitFrom,SplitYear,Group,Notes
Acanthocybium solandri,Acanthocybium solandri,Acanthocybium solandri,NA,NA,S,
Allothunnus fallai,Allothunnus fallai,Allothunnus fallai,NA,NA,S,
Amarsipus carlsbergi,Amarsipus carlsbergi,Amarsipus carlsbergi,NA,NA,S,
Aphanopus arigato,Aphanopus arigato,Aphanopus arigato,NA,NA,S,
Aphanopus beckeri,Aphanopus beckeri,Aphanopus beckeri,NA,NA,S,
Aphanopus capricornis,Aphanopus capricornis,Aphanopus capricornis,NA,NA,S,
Aphanopus carbo,Aphanopus carbo,Aphanopus carbo,NA,NA,S,
Aphanopus intermedius,Aphanopus intermedius,Aphanopus intermedius,NA,NA,S,
Aphanopus microphthalmus,NA,Aphanopus microphthalmus,NA,NA,S,
Aphanopus mikhailini,NA,Aphanopus mikhailini,NA,NA,S,
Ariomma bondi,Ariomma bondi,Ariomma bondi,NA,NA,S,
Ariomma bondi,Cubiceps nigriargentus,Ariomma bondi,NA,NA,S,
Ariomma brevimanus,Ariomma brevimanum,Ariomma brevimanum,NA,NA,S,
Ariomma dollfusi,Ariomma dollfusi,Ariomma indicum,NA,NA,S,
Ariomma indicum,Ariomma indicum,Ariomma indicum,NA,NA,S,
Ariomma luridum,Ariomma luridum,Ariomma luridum,NA,NA,S,
Ariomma melana,Cubiceps melanus,Ariomma melana,NA,NA,S,
Ariomma melana,Ariomma melanum,Ariomma melanum,NA,NA,S,
Ariomma parini,Ariomma parini,Ariomma parini,NA,NA,S,
Ariomma regulus,Ariomma regulus,Ariomma regulus,NA,NA,S,
Arripis georgiana,Arripis georgianus,Arripis georgianus,NA,NA,S,
Arripis trutta,Arripis trutta,Arripis trutta,NA,NA,S,
Arripis truttacea,Arripis truttacea,Arripis truttacea,NA,NA,S,
Arripis xylabion,Arripis xylabion,Arripis xylabion,NA,NA,S,
Arripis xylabion,Assurger anzac,Assurger anzac,NA,NA,S,
Auxis thazard,Auxis brachydorax,Auxis brachydorax,NA,NA,S,
Auxis rochei,Auxis eudorax,Auxis eudorax,NA,NA,S,
Auxis rochei,Auxis rochei,Auxis rochei,NA,NA,S,
Auxis thazard,Auxis thazard,Auxis thazard,NA,NA,S,
Benthodesmus elongatus,Benthodesmus elongatus,Benthodesmus elongatus,NA,NA,S,
Benthodesmus macrophthalmus,Benthodesmus macrophthalmus,Benthodesmus macrophthalmus,NA,NA,S,
Benthodesmus neglectus,Benthodesmus neglectus,Benthodesmus neglectus,NA,NA,S,
Benthodesmus oligoradiatus,Benthodesmus oligoradiatus,Benthodesmus oligoradiatus,NA,NA,S,
Benthodesmus pacificus,Benthodesmus pacificus,Benthodesmus pacificus,NA,NA,S,
Benthodesmus papua,Benthodesmus papua,Benthodesmus papua,NA,NA,S,
Benthodesmus simonyi,Benthodesmus simonyi,Benthodesmus simonyi,NA,NA,S,
Benthodesmus suluensis,Benthodesmus suluensis,Benthodesmus suluensis,NA,NA,S,
Benthodesmus tenuis,Benthodesmus tenuis,Benthodesmus tenuis,NA,NA,S,
Benthodesmus tuckeri,Benthodesmus tuckeri,Benthodesmus tuckeri,NA,NA,S,
Benthodesmus vityazi,Benthodesmus vityazi,Benthodesmus vityazi,NA,NA,S,
Brama australis,Brama australis,Brama australis,NA,NA,S,
Brama brama,Brama brama,Brama brama,NA,NA,S,
Brama caribbea,Brama caribbea,Brama caribbea,NA,NA,S,
Brama dussumieri,Brama dussumieri,Brama dussumieri,NA,NA,S,
Brama japonica,Brama japonica,Brama japonica,NA,NA,S,
Brama myersi,Brama myersi,Brama myersi,NA,NA,S,
Brama orcini,Brama orcini,Brama orcini,NA,NA,S,
Brama pauciradiata,Brama pauciradiata,Brama pauciradiata,NA,NA,S,
Caristius barsukovi,NA,Caristius barsukovi,NA,NA,S,
Caristius digitus,Caristius digitus,Caristius digitus,NA,NA,S,
Caristius fasciatus,Caristius fasciatus,Caristius fasciatus,NA,NA,S,
Caristius macropus,Caristius japonicus,Caristius japonicus,NA,NA,S,
Caristius litvinovi,NA,Caristius litvinovi,NA,NA,S,
Caristius macropus,Caristius macropus,Caristius macropus,NA,NA,S,
Caristius meridionalis,Caristius meridionalis,Caristius meridionalis,NA,NA,S,
Caristius walvisensis,NA,Caristius walvisensis,NA,NA,S,
Centrolophus niger,Centrolophus niger,Centrolophus niger,NA,NA,S,
Chiasmodon asper,NA,Chiasmodon asper,NA,NA,S,
Chiasmodon braueri,Chiasmodon braueri,Chiasmodon braueri,NA,NA,S,
Chiasmodon harteli,Chiasmodon harteli,Chiasmodon harteli,NA,NA,S,
Chiasmodon microcephalus,Chiasmodon microcephalus,Chiasmodon microcephalus,NA,NA,S,
Chiasmodon niger,Chiasmodon niger,Chiasmodon niger,NA,NA,S,
Chiasmodon lavenbergi,Chiasmodon lavenbergi,Chiasmodon pluriradiatus,NA,NA,S,
Chiasmodon pluriradiatus,Chiasmodon pluriradiatus,Chiasmodon pluriradiatus,NA,NA,S,
Chiasmodon subniger,Chiasmodon subniger,Chiasmodon subniger,NA,NA,S,
Cubiceps baxteri,Cubiceps baxteri,Cubiceps baxteri,NA,NA,S,
Cubiceps caeruleus,Cubiceps caeruleus,Cubiceps caeruleus,NA,NA,S,
Cubiceps capensis,Cubiceps capensis,Cubiceps capensis,NA,NA,S,
Cubiceps gracilis,Cubiceps gracilis,Cubiceps gracilis,NA,NA,S,
Cubiceps kotlyari,Cubiceps kotlyari,Cubiceps kotlyari,NA,NA,S,
Cubiceps macrolepis,NA,Cubiceps macrolepis,NA,NA,S,
Cubiceps nanus,NA,Cubiceps nanus,NA,NA,S,
Cubiceps paradoxus,Cubiceps paradoxus,Cubiceps paradoxus,NA,NA,S,
Cubiceps pauciradiatus,Cubiceps pauciradiatus,Cubiceps pauciradiatus,NA,NA,S,
Cubiceps whiteleggii,Cubiceps natalensis,Cubiceps whiteleggii,NA,NA,S,
Cubiceps whiteleggii,Cubiceps whiteleggii,Cubiceps whiteleggii,NA,NA,S,
Cybiosarda elegans,Cybiosarda elegans,Cybiosarda elegans,NA,NA,S,
Demissolinea novaeguineensis,NA,Demissolinea novaeguineensis,NA,NA,S,
Demissolinea novaeguineensis,Diplospinus multistriatus,Diplospinus multistriatus,NA,NA,S,
Dysalotus alcocki,Dysalotus alcocki,Dysalotus alcocki,NA,NA,S,
Dysalotus oligoscolus,Dysalotus oligoscolus,Dysalotus oligoscolus,NA,NA,S,
Epinnula magistralis,Epinnula magistralis,Epinnula magistralis,NA,NA,S,
Eumegistus brevorti,Eumegistus brevorti,Eumegistus brevorti,NA,NA,S,
Eumegistus illustris,Eumegistus illustris,Eumegistus illustris,NA,NA,S,
Eupleurogrammus glossodon,Eupleurogrammus glossodon,Eupleurogrammus glossodon,NA,NA,S,
Eupleurogrammus muticus,Eupleurogrammus muticus,Eupleurogrammus muticus,NA,NA,S,
Euthynnus affinis,Euthynnus affinis,Euthynnus affinis,NA,NA,S,
Euthynnus alletteratus,Euthynnus alletteratus,Euthynnus alletteratus,NA,NA,S,
Euthynnus lineatus,Euthynnus lineatus,Euthynnus lineatus,NA,NA,S,
Euthynnus lineatus,NA,Evoxymetopon macrophthalmus,NA,NA,S,
Evoxymetopon moricheni,NA,Evoxymetopon moricheni,NA,NA,S,
Evoxymetopon poeyi,Evoxymetopon poeyi,Evoxymetopon poeyi,NA,NA,S,
Evoxymetopon taeniatus,Evoxymetopon taeniatus,Evoxymetopon taeniatus,NA,NA,S,
Gasterochisma melampus,Gasterochisma melampus,Gasterochisma melampus,NA,NA,S,
Gempylus serpens,Gempylus serpens,Gempylus serpens,NA,NA,S,
Grammatorcynus bicarinatus,Grammatorcynus bicarinatus,Grammatorcynus bicarinatus,NA,NA,S,
Grammatorcynus bilineatus,Grammatorcynus bilineatus,Grammatorcynus bilineatus,NA,NA,S,
Gymnosarda unicolor,Gymnosarda unicolor,Gymnosarda unicolor,NA,NA,S,
Hyperoglyphe antarctica,Hyperoglyphe antarctica,Hyperoglyphe antarctica,NA,NA,S,
Hyperoglyphe bythites,Hyperoglyphe bythites,Hyperoglyphe bythites,NA,NA,S,
Hyperoglyphe japonica,Hyperoglyphe japonica,Hyperoglyphe japonica,NA,NA,S,
Hyperoglyphe macrophthalma,Hyperoglyphe macrophthalma,Hyperoglyphe macrophthalma,NA,NA,S,
Hyperoglyphe perciformis,Hyperoglyphe perciformis,Hyperoglyphe perciformis,NA,NA,S,
Hyperoglyphe pringlei,Hyperoglyphe pringlei,Hyperoglyphe pringlei,NA,NA,S,
Pseudoicichthys australis,Icichthys australis,Icichthys australis,NA,NA,S,
Icichthys lockingtoni,Icichthys lockingtoni,Icichthys lockingtoni,NA,NA,S,
Icosteus aenigmaticus,Icosteus aenigmaticus,Icosteus aenigmaticus,NA,NA,S,
Kali colubrina,Kali colubrina,Kali colubrina,NA,NA,S,
Kali falx,NA,Kali falx,NA,NA,S,
Kali indica,Kali indica,Kali indica,NA,NA,S,
Kali kerberti,Kali kerberti,Kali kerberti,NA,NA,S,
Kali macrodon,Kali macrodon,Kali macrodon,NA,NA,S,
Kali macrura,Kali macrura,Kali macrura,NA,NA,S,
Kali parri,Kali parri,Kali parri,NA,NA,S,
Katsuwonus pelamis,Gymnosarda pelamis,Katsuwonus pelamis,NA,NA,S,
Katsuwonus pelamis,Katsuwonus pelamis,Katsuwonus pelamis,NA,NA,S,
Lepidocybium flavobrunneum,Lepidocybium flavobrunneum,Lepidocybium flavobrunneum,NA,NA,S,
Lepidopus altifrons,Lepidopus altifrons,Lepidopus altifrons,NA,NA,S,
Lepidopus calcar,Lepidopus calcar,Lepidopus calcar,NA,NA,S,
Lepidopus caudatus,Lepidopus caudatus,Lepidopus caudatus,NA,NA,S,
Lepidopus dubius,Lepidopus dubius,Lepidopus dubius,NA,NA,S,
Lepidopus fitchi,Lepidopus fitchi,Lepidopus fitchi,NA,NA,S,
Lepidopus manis,NA,Lepidopus manis,NA,NA,S,
Lepturacanthus pantului,Lepturacanthus pantului,Lepturacanthus pantului,NA,NA,S,
Lepturacanthus roelandti,NA,Lepturacanthus roelandti,NA,NA,S,
Lepturacanthus savala,Lepturacanthus savala,Lepturacanthus savala,NA,NA,S,
Dysalotus pouliulii,NA,NA,NA,NA,S,
Epinnula pacfica,NA,NA,NA,NA,S,
Pampus candidus,NA,NA,NA,NA,S,
Pampus nozawae,NA,NA,NA,NA,S,
NA,Nomeus albula,NA,NA,NA,S,
Nealotus tripes,Nealotus tripes,Nealotus tripes,NA,NA,S,
Neocaristius heemstrai,Neocaristius heemstrai,Neocaristius heemstrai,NA,NA,S,
Neoepinnula americana,Neoepinnula americana,Neoepinnula americana,NA,NA,S,
Neoepinnula orientalis,Neoepinnula orientalis,Neoepinnula orientalis,NA,NA,S,
Nesiarchus nasutus,Nesiarchus nasutus,Nesiarchus nasutus,NA,NA,S,
Nomeus gronovii,Nomeus gronovii,Nomeus gronovii,NA,NA,S,
Orcynopsis unicolor,Orcynopsis unicolor,Orcynopsis unicolor,NA,NA,S,
Pampus argenteus,Pampus argenteus,Pampus argenteus,NA,NA,S,
Pampus chinensis,Pampus chinensis,Pampus chinensis,NA,NA,S,
Pampus cinereus,Pampus argenteus,Pampus cinereus,NA,NA,S,
Pampus argenteus,Pampus echinogaster,Pampus echinogaster,NA,NA,S,
Pampus minor,NA,Pampus minor,NA,NA,S,
Pampus punctatissimus,Pampus punctatissimus,Pampus punctatissimus,NA,NA,S,
Paracaristius aquilus,NA,Paracaristius aquilus,NA,NA,S,
Paracaristius maderensis,Paracaristius maderensis,Paracaristius maderensis,NA,NA,S,
Paracaristius maderensis,NA,Paracaristius nemorosus,NA,NA,S,
Paracaristius nudarcus,Paracaristius nudarcus,Paracaristius nudarcus,NA,NA,S,
Paradiplospinus antarcticus,Paradiplospinus antarcticus,Paradiplospinus antarcticus,NA,NA,S,
Paradiplospinus gracilis,NA,Paradiplospinus gracilis,NA,NA,S,
Peprilus burti,Peprilus burti,Peprilus burti,NA,NA,S,
Peprilus crenulatus,NA,Peprilus crenulatus,NA,NA,S,
Peprilus medius,Peprilus medius,Peprilus medius,NA,NA,S,
Peprilus ovatus,Peprilus ovatus,Peprilus ovatus,NA,NA,S,
Peprilus paru,Peprilus paru,Peprilus paru,NA,NA,S,
Peprilus simillimus,Peprilus simillimus,Peprilus simillimus,NA,NA,S,
Peprilus snyderi,Peprilus snyderi,Peprilus snyderi,NA,NA,S,
Peprilus triacanthus,Peprilus triacanthus,Peprilus triacanthus,NA,NA,S,
Peprilus xanthurus,NA,Peprilus xanthurus,NA,NA,S,
Platyberyx andriashevi,Platyberyx andriashevi,Platyberyx andriashevi,NA,NA,S,
Platyberyx mauli,NA,Platyberyx mauli,NA,NA,S,
Platyberyx opalescens,Platyberyx opalescens,Platyberyx opalescens,NA,NA,S,
Platyberyx paucus,NA,Platyberyx paucus,NA,NA,S,
Platyberyx pietschi,NA,Platyberyx pietschi,NA,NA,S,
Platyberyx rhyton,Platyberyx rhyton,Platyberyx rhyton,NA,NA,S,
Pomatomus saltatrix,Pomatomus saltatrix,Pomatomus saltatrix,NA,NA,S,
Promethichthys prometheus,Promethichthys prometheus,Promethichthys prometheus,NA,NA,S,
Psenes arafurensis,Psenes arafurensis,Psenes arafurensis,NA,NA,S,
Psenes cyanophrys,Psenes cyanophrys,Psenes cyanophrys,NA,NA,S,
Psenes maculatus,Psenes maculatus,Psenes maculatus,NA,NA,S,
Psenes pellucidus,Psenes pellucidus,Psenes pellucidus,NA,NA,S,
Psenes sio,Psenes sio,Psenes sio,NA,NA,S,
Psenopsis anomala,Psenopsis anomala,Psenopsis anomala,NA,NA,S,
Psenopsis cyanea,Psenopsis cyanea,Psenopsis cyanea,NA,NA,S,
Psenopsis humerosus,Psenopsis humerosa,Psenopsis humerosa,NA,NA,S,
Psenopsis intermedia,Psenopsis intermedia,Psenopsis intermedia,NA,NA,S,
Psenopsis obscura,Psenopsis obscura,Psenopsis obscura,NA,NA,S,
Psenopsis shojimai,NA,Psenopsis shojimai,NA,NA,S,
Pseudocaranx chilensis,Pseudocaranx chilensis,Pseudocaranx chilensis,NA,NA,S,
Pseudocaranx dentex,Pseudocaranx dentex,Pseudocaranx dentex,NA,NA,S,
Pseudocaranx dinjerra,Pseudocaranx dinjerra,Pseudocaranx dinjerra,NA,NA,S,
Pseudocaranx wrighti,Pseudocaranx wrighti,Pseudocaranx wrighti,NA,NA,S,
Psenopsis shojimai,Pseudoscopelus altipinnis,Pseudoscopelus altipinnis,NA,NA,S,
Pseudoscopelus aphos,Pseudoscopelus aphos,Pseudoscopelus aphos,NA,NA,S,
Pseudoscopelus astronesthidens,NA,Pseudoscopelus astronesthidens,NA,NA,S,
Pseudoscopelus australis,Pseudoscopelus australis,Pseudoscopelus australis,NA,NA,S,
Pseudoscopelus bothrorrhinos,NA,Pseudoscopelus bothrorrhinos,NA,NA,S,
Pseudoscopelus cephalus,Pseudoscopelus cephalus,Pseudoscopelus cephalus,NA,NA,S,
Pseudoscopelus cordilluminatus,NA,Pseudoscopelus cordilluminatus,NA,NA,S,
Pseudoscopelus lavenbergi,Pseudoscopelus lavenbergi,Pseudoscopelus lavenbergi,NA,NA,S,
Pseudoscopelus obtusifrons,Pseudoscopelus obtusifrons,Pseudoscopelus obtusifrons,NA,NA,S,
Pseudoscopelus odontoglossus,Pseudoscopelus odontoglossum,Pseudoscopelus odontoglossum,NA,NA,S,
Pseudoscopelus parini,NA,Pseudoscopelus parini,NA,NA,S,
