EschmeyerName,OBISChecklist,FBName,GBIFnames,GBIF Synonym,SplitFrom,SplitYear,Group,Notes,fbATLPresent,OBIS_atlPresent,fbOBagree,isAtlantic
Acanthocybium solandri,Acanthocybium solandri,Acanthocybium solandri,Acanthocybium solandri,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Allothunnus fallai,Allothunnus fallai,Allothunnus fallai,Allothunnus fallai,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Amarsipus carlsbergi,Amarsipus carlsbergi,Amarsipus carlsbergi,Amarsipus carlsbergi,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Aphanopus arigato,Aphanopus arigato,Aphanopus arigato,Aphanopus arigato,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Aphanopus beckeri,Aphanopus beckeri,Aphanopus beckeri,"Aphanopus beckeri Parin, 1994",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Aphanopus capricornis,Aphanopus capricornis,Aphanopus capricornis,"Aphanopus capricornis Parin, 1994",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Aphanopus carbo,Aphanopus carbo,Aphanopus carbo,Aphanopus carbo,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Aphanopus intermedius,Aphanopus intermedius,Aphanopus intermedius,Aphanopus intermedius,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Aphanopus microphthalmus,NA,Aphanopus microphthalmus,"Aphanopus microphthalmus Norman, 1939",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Aphanopus mikhailini,NA,Aphanopus mikhailini,Aphanopus mikhailini,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Ariomma bondi,Ariomma bondi,Ariomma bondi,Ariomma bondi,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Ariomma bondi,Cubiceps nigriargenteus,Ariomma bondi,Ariomma bondi,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Ariomma brevimanus,Ariomma brevimanum,Ariomma brevimanum,Ariomma brevimanus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Ariomma dollfusi,Ariomma dollfusi,Ariomma indicum,"Ariomma dollfusi (Chabanaud, 1930)",NA,NA,NA,S,,TRUE,FALSE,FALSE,FALSE
Ariomma indicum,Ariomma indicum,Ariomma indicum,Ariomma indicum,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Ariomma luridum,Ariomma luridum,Ariomma luridum,Ariomma luridum,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Ariomma melana,Cubiceps melanus,Ariomma melana,"Ariomma melana (Ginsburg, 1954)",NA,NA,NA,S,,NA,FALSE,NA,TRUE
Ariomma melana,Ariomma melanum,Ariomma melanum,"Ariomma melana (Ginsburg, 1954)",NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Ariomma parini,Ariomma parini,Ariomma parini,"Ariomma parini Piotrovsky, 1987",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Ariomma regulus,Ariomma regulus,Ariomma regulus,"Ariomma regulus (Poey, 1868)",NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Arripis georgiana,Arripis georgianus,Arripis georgianus,"Arripis georgianus Valenciennes, 1831",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Arripis trutta,Arripis trutta,Arripis trutta,Arripis trutta,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Arripis truttacea,Arripis truttacea,Arripis truttacea,Arripis truttacea,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Arripis xylabion,Arripis xylabion,Arripis xylabion,Arripis xylabion,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Arripis xylabion,Assurger anzac,Assurger anzac,Arripis xylabion,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Auxis thazard,Auxis brachydorax,Auxis brachydorax,Auxis thazard,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Auxis rochei,Auxis eudorax,Auxis eudorax,Auxis rochei,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Auxis rochei,Auxis rochei,Auxis rochei,Auxis rochei,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Auxis thazard,Auxis thazard,Auxis thazard,Auxis thazard,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Benthodesmus elongatus,Benthodesmus elongatus,Benthodesmus elongatus,Benthodesmus elongatus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Benthodesmus macrophthalmus,Benthodesmus macrophthalmus,Benthodesmus macrophthalmus,"Benthodesmus macrophthalmus Parin & Becker, 1970",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Benthodesmus neglectus,Benthodesmus neglectus,Benthodesmus neglectus,"Benthodesmus neglectus Parin, 1976",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Benthodesmus oligoradiatus,Benthodesmus oligoradiatus,Benthodesmus oligoradiatus,"Benthodesmus oligoradiatus Parin & Becker, 1970",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Benthodesmus pacificus,Benthodesmus pacificus,Benthodesmus pacificus,Benthodesmus pacificus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Benthodesmus papua,Benthodesmus papua,Benthodesmus papua,"Benthodesmus papua Parin, 1978",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Benthodesmus simonyi,Benthodesmus simonyi,Benthodesmus simonyi,Benthodesmus simonyi,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Benthodesmus suluensis,Benthodesmus suluensis,Benthodesmus suluensis,"Benthodesmus suluensis Parin, 1976",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Benthodesmus tenuis,Benthodesmus tenuis,Benthodesmus tenuis,Benthodesmus tenuis,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Benthodesmus tuckeri,Benthodesmus tuckeri,Benthodesmus tuckeri,"Benthodesmus tuckeri Parin & Becker, 1970",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Benthodesmus vityazi,Benthodesmus vityazi,Benthodesmus vityazi,"Benthodesmus vityazi Parin & Becker, 1970",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Brama australis,Brama australis,Brama australis,Brama australis,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Brama brama,Brama brama,Brama brama,Brama brama,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Brama caribbea,Brama caribbea,Brama caribbea,Brama caribbea,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Brama dussumieri,Brama dussumieri,Brama dussumieri,Brama dussumieri,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Brama japonica,Brama japonica,Brama japonica,Brama japonica,NA,NA,NA,S,,FALSE,TRUE,FALSE,FALSE
Brama myersi,Brama myersi,Brama myersi,"Brama myersi Mead, 1972",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Brama orcini,Brama orcini,Brama orcini,Brama orcini,NA,NA,NA,S,,FALSE,TRUE,FALSE,FALSE
Brama pauciradiata,Brama pauciradiata,Brama pauciradiata,"Brama pauciradiata Moteki, Fujita & Last, 1995",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Caristius barsukovi,NA,Caristius barsukovi,"Caristius barsukovi Kukuev, Parin & Trunov, 2013",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Caristius digitus,Caristius digitus,Caristius digitus,"Caristius digitus Stevenson & Kenaley, 2013",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Caristius fasciatus,Caristius fasciatus,Caristius fasciatus,Caristius fasciatus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Caristius macropus,Caristius japonicus,Caristius japonicus,Caristius macropus,Caristius japonicus,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Caristius litvinovi,NA,Caristius litvinovi,"Caristius litvinovi Kukuev, Parin & Trunov, 2013",NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Caristius macropus,Caristius macropus,Caristius macropus,Caristius macropus,NA,NA,NA,S,,FALSE,TRUE,FALSE,FALSE
Caristius meridionalis,Caristius meridionalis,Caristius meridionalis,Caristius meridionalis,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Caristius walvisensis,NA,Caristius walvisensis,"Caristius walvisensis Kukuev, Parin & Trunov, 2013",NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Centrolophus niger,Centrolophus niger,Centrolophus niger,Centrolophus niger,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Chiasmodon asper,NA,Chiasmodon asper,Chiasmodon asper,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Chiasmodon braueri,Chiasmodon braueri,Chiasmodon braueri,Chiasmodon braueri,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Chiasmodon harteli,Chiasmodon harteli,Chiasmodon harteli,"Chiasmodon harteli Melo, 2009",NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Chiasmodon microcephalus,Chiasmodon microcephalus,Chiasmodon microcephalus,Chiasmodon microcephalus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Chiasmodon niger,Chiasmodon niger,Chiasmodon niger,Chiasmodon niger,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Chiasmodon lavenbergi,Chiasmodon lavenbergi,Chiasmodon pluriradiatus,"Chiasmodon lavenbergi Prokofiev, 2008",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Chiasmodon pluriradiatus,Chiasmodon pluriradiatus,Chiasmodon pluriradiatus,"Chiasmodon pluriradiatus Parr, 1933",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Chiasmodon subniger,Chiasmodon subniger,Chiasmodon subniger,Chiasmodon subniger,NA,NA,NA,S,,FALSE,TRUE,FALSE,FALSE
Cubiceps baxteri,Cubiceps baxteri,Cubiceps baxteri,Cubiceps baxteri,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Cubiceps caeruleus,Cubiceps caeruleus,Cubiceps caeruleus,Cubiceps caeruleus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
